"","GS","ar1","ma1","lat","long","loglike","phi","phylum","kingdom","maxh"
"569","Harmonia axyridis",0.437702919203476,0.35778415767962,42,-85,0.310671601200312,0.374013814101284,"Arthropoda","Metazoa",NA
"570","Harmonia quadripunctata",0.497208106355087,0.999994751178192,56,13,0.310671601200312,1.0293030720972,"Arthropoda","Metazoa",NA
"571","Harpacticoida ",-0.0431797253533923,-0.0361431367496867,-34,151,0.310671601200312,-0.155606509118363,"Arthropoda","Metazoa",NA
"572","Hemiselmis sp",0.365863809606551,0.266352284810016,-38,145,0.310671601200312,0.773632389201669,NA,NA,NA
"573","Hemiselmis sp",0.217093047097582,0.179567666289132,-38,144,0.310671601200312,0.400089854980031,NA,NA,NA
"574","Hesperotettix speciosus",0.824278700113294,0.999984272967911,39,-97,0.310671601200312,0.843623055038025,NA,NA,NA
"575","Heterocapsa rotundata",0.618238698458951,0.765206425005378,-38,145,0.310671601200312,1.49466573758673,NA,NA,NA
"576","Heterocapsa rotundata",0.402636596005494,0.315167889574514,-38,144,0.310671601200312,1.02488989241735,NA,NA,NA
"577","Heterocope septentrionalis",0.558455240847198,0.382250828189707,69,-150,0.310671601200312,1.01277383902509,"Arthropoda","Metazoa",NA
"578","Heterosigma akashiwo",0.96591978959828,0.999919486907612,-34,151,0.310671601200312,-0.062103459937494,NA,NA,NA
"579","Himantopus himantopus",1.26194610317043e-08,0,26,128,0.310671601200312,0.827115278892009,"Chordata","Metazoa",NA
"580","Hippodamia convergens",0.880010204311323,0.999991520913489,42,-85,0.310671601200312,0.946725729945706,"Arthropoda","Metazoa",NA
"581","Hippodamia glacialis",-0.123398975805375,-0.0791100360650272,42,-85,0.310671601200312,-0.0172054828973036,"Arthropoda","Metazoa",NA
"582","Hippodamia parenthesis",0.19363685808409,0.0816599364840815,42,-85,0.310671601200312,0.215872193531079,"Arthropoda","Metazoa",NA
"583","Hofmannophila pseudospretella",0.20397630511758,0.456668162107845,56,13,0.310671601200312,0.51062836552148,"Arthropoda","Metazoa",NA
"584","Holopedium gibberum",0.227158990243036,0.181710768427148,46,-90,0.310671601200312,0.45008242780298,"Arthropoda","Metazoa",NA
"585","Hoplodrina blanda",0.448595574810189,0.9987384461052,56,13,0.310671601200312,0.962799246674592,"Arthropoda","Metazoa",NA
"586","Hybognathus nuchalis",0.924366204439787,0.995654342475344,40,-87,0.310671601200312,1.04368907938973,"Chordata","Metazoa",NA
"587","Hylaea fasciaria",0.893585256930035,0.999575962861354,56,13,0.310671601200312,0.650645389879372,"Arthropoda","Metazoa",NA
"588","Hypentelium nigricans",0.840772249720593,0.999546269853373,40,-87,0.310671601200312,0.241049655124992,"Chordata","Metazoa",NA
"589","Hypnea musciformis",0.958486866046869,0.999741239817396,43,10,0.310671601200312,1.69879767282833,"Rhodophyta",NA,NA
"590","Hypochlora alba",0.584391840480238,0.995801623337516,39,-97,0.310671601200312,1.94899641245324,"Arthropoda","Metazoa",NA
"591","Hypochlora alba",0.349154322303373,0.641269504982964,39,-97,0.310671601200312,0.418602236667901,"Arthropoda","Metazoa",NA
"592","Hypochlora alba",0.911198546358756,0.999995078619473,39,-97,0.310671601200312,0.934272860791958,"Arthropoda","Metazoa",NA
"593","Hypochlora alba",0.775240502531135,0.999300266966488,39,-97,0.310671601200312,-0.0105766522457731,"Arthropoda","Metazoa",NA
"594","Hypochlora alba",0.906118303677279,0.999982952932645,39,-97,0.310671601200312,0.719605286281947,"Arthropoda","Metazoa",NA
"595","Hypochlora alba",0.679195640844588,0.999771216262471,39,-97,0.310671601200312,0.157731853496382,"Arthropoda","Metazoa",NA
"596","Hypochlora alba",-0.910789526682597,-0.999654423544228,39,-97,0.310671601200312,-0.0611682737207566,"Arthropoda","Metazoa",NA
"597","Hypochlora alba",0.744274733246372,0.998218522275756,39,-97,0.310671601200312,-0.912043912546105,"Arthropoda","Metazoa",NA
"598","Hypochlora alba",0.908110123084338,0.999969649929999,39,-97,0.310671601200312,0.521270790494575,"Arthropoda","Metazoa",NA
"599","Hypsipetes amaurotis",0.659646311778975,0.999999209798065,35,136,0.310671601200312,1.19229458053732,"Chordata","Metazoa",NA
"600","Hypsipetes amaurotis",0.416499076338065,0.346848761786893,35,136,0.310671601200312,0.9443304741807,"Chordata","Metazoa",NA
"601","Hypsipetes amaurotis",0.38293529780123,0.999835809801568,35,136,0.310671601200312,0.695337321384444,"Chordata","Metazoa",NA
"602","Hypsipetes amaurotis",0.51155760862543,0.999126875350545,35,137,0.310671601200312,0.626648099690667,"Chordata","Metazoa",NA
"603","Hypsipetes amaurotis",0.623746386608798,0.99999743540712,36,138,0.310671601200312,1.42372167427745,"Chordata","Metazoa",NA
"604","Hypsipetes amaurotis",0.517396489920457,0.999999693899427,33,131,0.310671601200312,0.461233891737316,"Chordata","Metazoa",NA
"605","Hypsurus caryi",0.519028043972704,0.99994550314014,34,-120,0.310671601200312,0.144071658303405,"Chordata","Metazoa",NA
"606","Kellicottia bostoniensis",0.329542196118496,0.360210237057563,46,-90,0.310671601200312,0.518433879297149,"Rotifera","Metazoa",NA
"607","Kellicottia longispina",0.408832436803681,0.444032951297728,46,-90,0.310671601200312,0.912768206021316,"Rotifera","Metazoa",NA
"608","Kellicottia longispina",0.249794583856711,0.313301826302585,46,-90,0.310671601200312,0.498170297990977,"Rotifera","Metazoa",NA
"609","Keratella cochlearis",0.291521647329498,0.269365287616009,46,-90,0.310671601200312,0.545900883574187,"Rotifera","Metazoa",NA
"610","Keratella cochlearis",0.0805650993836694,0.11089270112154,46,-90,0.310671601200312,-0.0953496924082029,"Rotifera","Metazoa",NA
"611","Keratella crassa",0.202644610786779,0.18958657762376,46,-90,0.310671601200312,0.291108986905921,NA,NA,NA
"612","Keratella crassa",0.355750813320745,0.434337376160154,46,-90,0.310671601200312,0.086725155989899,NA,NA,NA
"613","Keratella earlinae",0.135584082179526,0.165787548066859,46,-90,0.310671601200312,0.125949697945579,NA,NA,NA
"614","Keratella earlinae",0.226182803590777,0.210616882020094,46,-90,0.310671601200312,0.252083673216269,NA,NA,NA
"615","Keratella hiemalis",0.245847770304553,0.208422976416711,46,-90,0.310671601200312,0.66773911984468,"Rotifera","Metazoa",NA
"616","Keratella quadrata",0.308128243561306,0.351851168918925,46,-90,0.310671601200312,0.0651117080388747,"Rotifera","Metazoa",NA
"617","Keratella quadrata",0.0635626986251219,0.052171276015701,46,-90,0.310671601200312,0.0561147956529184,"Rotifera","Metazoa",NA
"618","Keratella taurocephala",0.532834973525088,0.999995114720393,46,-90,0.310671601200312,-0.651282166290367,NA,NA,NA
"619","Koeleria macrantha",-0.933863870482564,-0.994501779023777,39,-97,-9.77898873405229,1.1009086972436,"Streptophyta","Viridiplantae",0.4
"620","Koeleria macrantha",-0.90352750143567,-0.995751229150129,39,-97,7.53126229092925,0.471612710019551,"Streptophyta","Viridiplantae",0.4
"621","Koeleria macrantha",0.955988086038302,0.999815560725946,39,-97,3.92581627449416,0.0207895874205129,"Streptophyta","Viridiplantae",0.4
"622","Koeleria macrantha",-0.969787441463572,-0.999917310838218,39,-97,-8.35269965743456,0.723176318275662,"Streptophyta","Viridiplantae",0.4
"623","Koeleria macrantha",0.898618736679573,0.997181209157784,39,-97,2.91620963003543,0.787708023000221,"Streptophyta","Viridiplantae",0.4
"624","Lacewing ",0.340515665282881,0.279294858153603,42,-85,0.310671601200312,0.361360202202386,NA,NA,NA
"625","Lagria hirta",-0.315353681033615,-0.307463718271405,56,13,0.310671601200312,-0.609852888614246,"Arthropoda","Metazoa",NA
"626","Lamproptera curius",0.915790145493857,0.998755759559424,21,105,0.310671601200312,0.25003709479955,"Arthropoda","Metazoa",NA
"627","Laothoe populi",0.914609425152732,0.999752838074315,56,13,0.310671601200312,0.0925137220430912,"Arthropoda","Metazoa",NA
"628","Laurencia obtusa",0.46811823943008,0.519963606924065,43,10,0.310671601200312,0.316294771430449,"Rhodophyta",NA,NA
"629","Lecane sp",0.446545303595631,0.485752933174473,46,-90,0.310671601200312,0.769442773801114,NA,NA,NA
"630","Lecane tenuiseta",0.33677212745953,0.354795198217743,46,-90,0.310671601200312,1.03054457651691,"Rotifera","Metazoa",NA
"631","Lepomis macrochirus",-0.873929208063263,-0.99999954223003,40,-87,0.310671601200312,0.368188159497262,"Chordata","Metazoa",NA
"632","Leptocylindrus minimus",0.17040585869041,0.207244149391162,-38,145,0.310671601200312,-0.0676858886711677,"Bacillariophyta",NA,NA
"633","Leptocylindrus minimus",0.188754701014117,0.18416149022924,-34,151,0.310671601200312,0.221280204678445,"Bacillariophyta",NA,NA
"634","Leptodiaptomus sicilis",0.19014286418638,0.0800371114077747,46,-90,0.310671601200312,0.680016318894565,"Arthropoda","Metazoa",NA
"635","Leptodora kindtii",0.106602607105991,0.10093897470888,47,9,0.310671601200312,0.00851630630829271,"Arthropoda","Metazoa",NA
"636","Lespedeza capitata",0.69703464848072,0.996617799134013,39,-97,7.59141452999134,1.1119623046092,"Streptophyta","Viridiplantae",1.5
"637","Lespedeza capitata",-0.650042367784361,-0.0226963923967406,39,-97,4.8301049009978,0.778721689114486,"Streptophyta","Viridiplantae",1.5
"638","Lespedeza violacea",0,0,39,-97,-5.68779093064218,1.88650773672123,"Streptophyta","Viridiplantae",0.933333333333333
"639","Lespedeza violacea",-0.956866017829566,-0.994580269346862,39,-97,-2.20818734958219,1.11017420194008,"Streptophyta","Viridiplantae",0.933333333333333
"640","Lethe verma",-0.860759671082851,-0.999926186194907,21,105,0.310671601200312,-0.260367151982929,"Arthropoda","Metazoa",NA
"641","Licmophora sp",0.19265042204162,0.187844171798047,-38,144,0.310671601200312,0.443741943115076,"Bacillariophyta",NA,NA
"642","Licmophora sp",0.731350765632299,0.999999358917614,-34,151,0.310671601200312,1.9924068140569,"Bacillariophyta",NA,NA
"643","Limacina sp",-0.251973093200621,-0.165409518783793,-27,154,0.310671601200312,-0.412981845503254,NA,NA,NA
"644","Limacina sp",0.0401895579328348,0.0345474132493778,-34,151,0.310671601200312,-0.496146657871734,NA,NA,NA
"645","Lobesia abscisana",0.233837395827097,0.24881844339652,56,13,0.310671601200312,-0.280574206695485,"Arthropoda","Metazoa",NA
"646","Lucifer sp",0.907784099692873,0.999999904559868,-34,151,0.310671601200312,0.352872896816649,NA,NA,NA
"647","Macaria liturata",0.488690579962964,0.546658784154039,56,13,0.310671601200312,1.22943506688005,"Arthropoda","Metazoa",NA
"648","Macrosetella gracilis",-0.53390966861363,-0.471672143852117,-27,154,0.310671601200312,0.437210116464045,"Arthropoda","Metazoa",NA
"649","Macrosetella gracilis",0.621064188966745,0.21332862799913,-34,151,0.310671601200312,-0.016521002781636,"Arthropoda","Metazoa",NA
"650","Macrosetella gracilis",0.838202547761962,0.999655581570395,-32,115,0.310671601200312,0.0764609758543146,"Arthropoda","Metazoa",NA
"651","Martes melampus",0.0720627420235534,0.0695939509446787,35,136,0.310671601200312,-0.0148606154669347,"Chordata","Metazoa",NA
"652","Mecoptera ",0.341414136097053,0.306966934234921,42,-85,0.310671601200312,0.962458138789687,"Arthropoda","Metazoa",NA
"653","Mecynocera clausi",0.436494795957204,0.348782735018702,-34,151,0.310671601200312,0.144220832644969,"Arthropoda","Metazoa",NA
"654","Mecynocera clausi",0.999990043859694,0.999999485858252,-43,148,0.310671601200312,1.38788952785801,"Arthropoda","Metazoa",NA
"655","Melanchra persicariae",-0.692568755287744,-0.999999894744515,56,13,0.310671601200312,-0.316438721336258,"Arthropoda","Metazoa",NA
"656","Melanerpes carolinus",-0.730392258408732,-0.999835908508216,39,-97,0.310671601200312,-0.263810558856375,"Chordata","Metazoa",NA
